Date,China,India,US,EU,Russia,Japan,Brazil,ROW,World
13/04/2019,2.49,0.78,4.88,2.24,0.62,0.53,0.54,5.94,18.01
14/04/2019,2.42,0.74,3.47,1.80,0.52,0.49,0.45,5.12,15.01
15/04/2019,2.50,0.81,4.52,2.36,0.69,0.53,0.57,6.12,18.09
16/04/2019,2.51,0.81,5.22,2.66,0.69,0.53,0.58,6.49,19.49
17/04/2019,2.51,0.79,5.30,2.66,0.69,0.53,0.58,6.34,19.41
18/04/2019,2.51,0.81,5.35,2.65,0.69,0.53,0.58,6.64,19.77
19/04/2019,2.55,0.77,5.36,2.42,0.70,0.54,0.51,5.80,18.66
20/04/2019,2.48,0.79,4.59,2.13,0.62,0.53,0.47,5.52,17.12
21/04/2019,2.42,0.70,3.29,1.68,0.53,0.49,0.38,4.89,14.36
22/04/2019,2.50,0.80,4.43,1.93,0.69,0.53,0.56,5.86,17.29
23/04/2019,2.51,0.80,5.23,2.66,0.69,0.53,0.55,6.54,19.51
24/04/2019,2.51,0.81,5.33,2.66,0.69,0.53,0.58,6.61,19.71
25/04/2019,2.51,0.81,5.35,2.64,0.69,0.53,0.58,6.66,19.77
26/04/2019,2.55,0.81,5.41,2.65,0.70,0.54,0.58,6.33,19.57
27/04/2019,2.48,0.79,4.67,2.21,0.61,0.53,0.55,5.84,17.68
28/04/2019,2.42,0.72,3.47,1.75,0.49,0.49,0.45,5.39,15.18
29/04/2019,2.50,0.80,4.55,2.31,0.69,0.53,0.57,6.35,18.30
30/04/2019,2.51,0.80,5.27,2.66,0.70,0.53,0.58,6.78,19.83
01/05/2019,2.51,0.79,5.33,2.23,0.66,0.53,0.51,6.50,19.06
02/05/2019,2.51,0.81,5.37,2.62,0.64,0.53,0.57,6.79,19.84
03/05/2019,2.55,0.81,5.42,2.62,0.65,0.54,0.58,6.51,19.69
04/05/2019,2.48,0.80,4.72,2.23,0.58,0.53,0.54,6.08,17.95
05/05/2019,2.42,0.72,3.50,1.82,0.49,0.49,0.44,5.27,15.14
06/05/2019,2.50,0.81,4.55,2.32,0.68,0.53,0.57,6.04,18.01
07/05/2019,2.51,0.80,5.25,2.68,0.69,0.53,0.58,6.55,19.60
08/05/2019,2.51,0.80,5.34,2.60,0.69,0.53,0.58,6.58,19.63
09/05/2019,2.51,0.80,5.36,2.69,0.64,0.53,0.58,6.65,19.76
10/05/2019,2.55,0.81,5.41,2.69,0.65,0.54,0.58,6.26,19.49
11/05/2019,2.48,0.78,4.71,2.26,0.59,0.53,0.55,5.71,17.61
